dataset_key,city,rule_name,rule_family,description,sensors_total,sensors_retained,sensors_removed,removed_sensor_ids,daily_missing_mean_pct,daily_missing_median_pct,daily_missing_p90_pct,days_missing_ge_25pct,daily_valid_sensor_min,daily_valid_sensor_median,missing_mean_improvement_pct_points,reference_mean_bias_ugm3,reference_mean_mae_ugm3,reference_mean_p95_abs_diff_ugm3,reference_mean_max_abs_diff_ugm3,reference_mean_pearson_r,daily_mean_pm25_spearman_rho,temporal_spearman_rho,spatial_cv_spearman_rho,baseline_temporal_spearman_rho,baseline_spatial_cv_spearman_rho,temporal_abs_reduction,spatial_cv_abs_reduction,joint_temporal_spatial_cv_reduction
dhaka_lcs,Dhaka,baseline_all_sensors,baseline,All retained sensors.,35,35,0,,14.20352250489237,11.309523809523814,22.380952380952383,26,15,33.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.12667023432522392,0.013649251815097766,0.03895783080353444,0.013649251815097766,0.03895783080353444,0.0,0.0,0.0
dhaka_lcs,Dhaka,daily_ge_50pct_gap_le_25pct_period,proportional_daily_gap,Keep daily presence >=50% and longest gap <= 90 days.,35,35,0,,14.20352250489237,11.309523809523814,22.380952380952383,26,15,33.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.12667023432522392,0.013649251815097766,0.03895783080353444,0.013649251815097766,0.03895783080353444,0.0,0.0,0.0
dhaka_lcs,Dhaka,daily_ge_50pct_gap_le_90d_absolute,absolute_daily_gap,Keep daily presence >=50% and longest gap <= 90 days.,35,35,0,,14.20352250489237,11.309523809523814,22.380952380952383,26,15,33.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.12667023432522392,0.013649251815097766,0.03895783080353444,0.013649251815097766,0.03895783080353444,0.0,0.0,0.0
dhaka_lcs,Dhaka,remove_worst_daily_missing_21pct,proportional_worst_daily_missing,Remove worst 7 sensors by daily missingness.,35,28,7,81432151018;81432151066;81432151048;81432130031;81432130043;81432151044;81432150006,11.261007827788653,8.482142857142861,17.5,22,13,27.0,2.9425146771037136,0.6048529837884837,0.8060598108613024,2.9326097988004847,7.581602336120028,0.9997475526955846,-0.23050604653300166,-0.16354167762583854,-0.06253560613292566,0.013649251815097766,0.03895783080353444,-0.14989242581074078,-0.023577775329391225,-0.173470201140132
dhaka_lcs,Dhaka,remove_worst_daily_missing_15_sensors,absolute_worst_daily_missing,Remove worst 15 sensors by daily missingness.,35,20,15,81432151018;81432152006;81432151062;81432151066;81432130017;81432151048;81432152014;81432151074;81432151014;81432130031;81432130043;81432151017;81432130033;81432151044;81432150006,9.49543378995434,6.666666666666677,18.541666666666657,25,11,20.0,4.708088714938028,-1.2245796593917015,1.6871197693151427,5.456140787772121,19.425461910695276,0.9987021674219437,-0.19067382962975624,-0.07912669552876977,-0.05057714781466222,0.013649251815097766,0.03895783080353444,-0.065477443713672,-0.011619317011127783,-0.07709676072479979
lucknow_lcs,Lucknow,baseline_all_sensors,baseline,All retained sensors.,71,71,0,,28.34121165348254,27.406103286384987,38.54460093896714,255,39,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06175669156921031,0.42266939447628415,0.29820677781030835,0.42266939447628415,0.29820677781030835,0.0,0.0,0.0
lucknow_lcs,Lucknow,daily_ge_50pct_gap_le_25pct_period,proportional_daily_gap,Keep daily presence >=50% and longest gap <= 90 days.,71,57,14,81432131001;81432131007;81432131012;81432147039;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144031,21.745774252984056,22.514619883040954,29.298245614035107,111,37,49.0,6.59543740049848,-0.08847823465704648,0.4313020472903891,1.3120482479298063,5.24668590776318,0.999904704500016,-0.26377573479453775,0.021069854144675697,0.08758057714878492,0.42266939447628415,0.29820677781030835,0.40159954033160844,0.21062620066152343,0.6122257409931319
lucknow_lcs,Lucknow,daily_ge_50pct_gap_le_90d_absolute,absolute_daily_gap,Keep daily presence >=50% and longest gap <= 90 days.,71,57,14,81432131001;81432131007;81432131012;81432147039;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144031,21.745774252984056,22.514619883040954,29.298245614035107,111,37,49.0,6.59543740049848,-0.08847823465704648,0.4313020472903891,1.3120482479298063,5.24668590776318,0.999904704500016,-0.26377573479453775,0.021069854144675697,0.08758057714878492,0.42266939447628415,0.29820677781030835,0.40159954033160844,0.21062620066152343,0.6122257409931319
lucknow_lcs,Lucknow,remove_worst_daily_missing_21pct,proportional_worst_daily_missing,Remove worst 15 sensors by daily missingness.,71,56,15,81432131001;81432131007;81432147039;81432147055;81432147053;81432147056;81432147060;81432144006;81432144007;81432144008;81432144014;81432144016;81432144024;81432144027;81432144031,20.444390084801046,21.651785714285708,27.17261904761905,82,38,48.0,7.896821568681495,-0.1457895184592527,0.5372620057112873,1.863371579908949,7.596983865557206,0.9998492108297605,-0.2934415510860111,-0.007139207450560901,0.042298746077481124,0.42266939447628415,0.29820677781030835,0.41553018702572325,0.2559080317328272,0.6714382187585505
lucknow_lcs,Lucknow,remove_worst_daily_missing_15_sensors,absolute_worst_daily_missing,Remove worst 15 sensors by daily missingness.,71,56,15,81432131001;81432131007;81432147039;81432147055;81432147053;81432147056;81432147060;81432144006;81432144007;81432144008;81432144014;81432144016;81432144024;81432144027;81432144031,20.444390084801046,21.651785714285708,27.17261904761905,82,38,48.0,7.896821568681495,-0.1457895184592527,0.5372620057112873,1.863371579908949,7.596983865557206,0.9998492108297605,-0.2934415510860111,-0.007139207450560901,0.042298746077481124,0.42266939447628415,0.29820677781030835,0.41553018702572325,0.2559080317328272,0.6714382187585505
