Sensor_ID,Latitude,Longitude,synthetic_pm25_ug_m3,selected_for_concept
DACZY2913,42.0027981,-87.67195804163,7.934069638078086,False
DAETQ5676,41.92218035,-87.79864272546,10.301528560174079,False
DAEXF8484,41.70576455,-87.71086021154,12.575003389074107,True
DAHAJ0678,41.7522794,-87.73751065,10.01399997310953,False
DAHWZ2321,41.96237755,-87.70857185888,7.642167774812869,False
DAJHM7956,41.73775017864,-87.53549803584,9.800864257026145,False
DALBP5360,41.70569725,-87.67464569625,14.512599748912805,False
DALUY0194,41.9079403,-87.63684281787,8.843059996543555,False
DAMWS8859,41.8658074,-87.71918399848,8.67064136439409,False
DAPBK7657,41.8402538,-87.70343516175,9.147198772745186,False
DAPJK7781,41.87791765,-87.6685754,8.783617491659323,False
DAREG6245,41.93525075,-87.6725314,8.23386753878673,False
DARLP7776,41.8400145,-87.63555596913,8.851400616466746,False
DATLR2184,41.82784155,-87.70286514737,9.326211662985584,False
DAUPG9028,41.9627009,-87.76268011147,8.702386582632107,False
DAWAP1896,41.7516673,-87.61940269812,11.69431403540011,False
DAWUS6556,41.73545185,-87.68498598767,12.713818857052715,False
DAYYE9472,41.7847049,-87.58248692116,9.13717522141165,False
DBCBA3610,41.8669061,-87.75356439011,8.40807110883749,False
DBDBP2246,41.7517264,-87.60303067276,11.041989814860765,False
DBDSX9338,41.76396055,-87.56920031234,9.484016594966159,False
DBFUZ7169,41.73860965,-87.5523953503,9.736661901386585,False
DBIRF2035,41.79007765,-87.70310395085,9.99325610349631,False
DBIZF0451,41.6758357,-87.6372934871,15.184494215602575,False
DBJPV1452,41.94881145,-87.70812985315,7.741976197527897,False
DBLXJ4454,41.8023942,-87.66940364305,9.866051502941083,False
DBMHJ0743,41.8027095,-87.73730573247,8.984350027939133,False
DBTKW5792,41.8912125,-87.76984190347,8.948031266306915,False
DBYCW6873,41.97643085,-87.79850802324,8.819987891029852,False
DBZCJ6205,41.73924395,-87.63654310138,13.024480926435459,False
DCABM0358,41.8403631,-87.73770467097,8.617476740026433,False
DCAFN1583,41.8275454,-87.73584967759,8.754282606634119,False
DCFVE7122,41.8017657,-87.6359281004,9.522077693824734,False
DCHTB8281,41.68959485,-87.65379678317,15.393778797840044,True
DCIJQ7018,42.0028637,-87.7079294603,7.574499088787643,False
DCIRD2804,41.86735079697,-87.61884913697,8.624977452264485,False
DCQTB2627,41.9760533,-87.76267965049,8.309258338407876,False
DCRJT8545,41.75146495,-87.6362956,12.158930496162535,False
DCYXM8877,41.94945715,-87.8351178454,9.41286404924541,False
DCZQF3538,41.85298145,-87.66905187486,9.028210917483571,False
DDCVA2276,42.00303345,-87.76224995,7.549644029128627,False
DDGFW8206,41.77689575,-87.63594989239,10.562063164308558,False
DDGHI0125,41.92893015,-87.75257875182,8.891405264734598,False
DDHVZ6546,41.86559955,-87.6517851304,8.868067227426371,False
DDLSL3066,41.90818775,-87.67277999888,8.462492306953417,False
DDQNT6485,41.85262982538,-87.6353109832,8.79065430616939,False
DDVZB7943,41.79954752686,-87.58353859231,8.815936346007254,False
DDZMI3291,41.84077025,-87.68631765239,9.216329538653316,False
DEIDA3268,41.90808685,-87.65476058225,8.69882221588713,False
DEJMD2536,41.9762844,-87.8527641,7.604536243372009,False
DEPLW3142,41.7640476,-87.6024382544,10.379536896692388,False
DERZJ4600,42.0162268,-87.67155255924,7.912033510393095,False
DEVFQ3796,41.8911473,-87.7527475601,8.679857631360663,False
DEWGT8066,41.94911115,-87.74480067538,8.400194447169612,False
DEYGE9157,41.7014031,-87.5703907,10.927845956443555,False
DFAKZ8204,41.802323,-87.652894475,9.733065369938231,False
DFAQM2360,41.78968585,-87.65259587249,10.17002058516742,False
DFCTF9310,41.70153607185,-87.65364411745,15.195723496664854,False
DFDFU1164,41.8526565,-87.68640576809,9.050827710471053,False
DFDVG9143,41.70084025,-87.60406122014,13.404658725907165,False
DFEAJ0038,41.6642805,-87.5373633,10.175128637542738,False
DFESS1920,41.76416395,-87.7034622167,10.765093114262624,False
DFFDA0268,41.8811335,-87.654831,8.805550703032097,False
DFIBC1899,41.66442141106,-87.58654247521,12.007396712217117,False
DFIRX1818,41.68842595,-87.60256092387,13.450486939462076,False
DFKYH6865,41.69223635,-87.67489329296,14.784057403335643,False
DFKYP0941,41.92145185,-87.63691042804,8.844498042852003,False
DFMDU1576,41.7770346,-87.61823783346,10.190531662624268,False
DFNBI6922,41.69236885,-87.71085274558,12.779531916224503,False
DFQDK6326,41.7328393,-87.67465490629,13.211533921782811,False
DFRKF1779,41.99058225,-87.79848941722,8.115989196676079,False
DFRSA4000,41.89544165,-87.61824483303,8.735816935318736,False
DFVRF7063,41.90386395,-87.75296686302,8.825067664091405,False
DGAID0757,41.91617695,-87.75264006953,8.899149303173466,False
DGDNA0617,42.00333585,-87.81657557251,7.3974941786828925,False
DGGGM0466,41.8401321,-87.65224955236,9.03833762142055,True
DGHRH9009,41.8029067,-87.70321051435,9.721083331163713,False
DGKDK3415,41.9415229,-87.73560494298,8.222833333695153,False
DGRCH4426,42.00290225,-87.6903495,7.725064008893165,False
